,index,zipcode,Category,installs_per_100,100_hhs,number_installed,PO_NAME,STATE,ZIP_TYPE,ZCTA,Zip_join_type,population,landsqmi,popdensity,total_household,avg_hh_size,percet_1unit,ZCTA_5,mean_income,earning_hhs,mean_income_earning_hhs,percent_int_div_rent,earn_int_div_rent,no_financial_incentive_prog,no_rules_reg_pol_incentive,no_plants,op_months,summer_capacity,winter_capacity,nameplate_capacity,comm_rate,ind_rate,res_rate,comm_rate_noniou,ind_rate_noniou,res_rate_noniou,region
10,10,15044,Low,0.019116804,104.62,2,Gibsonia,PA,Zip Code Area,15044,Zip Matches ZCTA,27049,41.34,654.26,10462,2.66,93.2,15044,121251,80.9,128153,35.4,13786,7,3,0,0,0.0,0.0,0.0,0.06,0.05,0.09,0.12,0.1,0.14,PJM
11,11,49420,Low,0.043271311,23.11,1,Hart,MI,Zip Code Area,49420,Zip Matches ZCTA,6420,112.04,57.3,2311,2.64,77.6,49420,53248,72.2,52722,20.0,13685,8,2,0,0,0.0,0.0,0.0,0.07,0.04,0.08,0.13,0.08,0.15,MISO
12,12,19081,Low,0.029958059,33.38,1,Swarthmore,PA,Zip Code Area,19081,Zip Matches ZCTA,10337,2.23,4627.13,3338,2.56,81.9,19081,126674,81.4,131165,36.2,10126,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.11,0.0,0.0,0.0,PJM
13,13,39307,Low,0.016170763,61.84,1,Meridian,MS,Zip Code Area,39307,Zip Matches ZCTA,18603,95.44,194.93,6184,2.6,73.6,39307,38878,72.0,39189,8.5,6627,2,0,0,0,0.0,0.0,0.0,0.1,0.06,0.13,0.12,0.02,0.06,MISO
14,14,94558,High,2.001578008,240.81,482,Napa,CA,Zip Code Area,94558,Zip Matches ZCTA,66830,355.76,187.85,24081,2.78,77.9,94558,104359,77.7,99678,30.8,31361,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
15,15,33853,Low,0.02374169,42.12,1,Lake Wales,FL,Zip Code Area,33853,Zip Matches ZCTA,11161,8.16,1367.94,4212,2.81,68.2,33853,43959,70.8,45471,10.6,7637,5,2,0,0,0.0,0.0,0.0,0.09,0.08,0.12,0.0,0.0,0.0,Southeast
16,16,5651,High,1.078582435,6.49,7,East Montpelier,VT,Zip Code Area,5651,Zip Matches ZCTA,1546,17.18,89.99,649,2.28,81.0,5651,68735,79.7,67618,35.3,8140,4,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.19,0.14,0.2,New England
17,17,18963,Low,0.016969286,58.93,1,Solebury,PA,Post Office or large volume customer,18938,Spatial join to ZCTA,13989,40.93,341.8,5893,2.35,84.6,18938,162698,80.8,162635,44.6,28373,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.11,0.0,0.0,0.0,PJM
18,18,32033,Low,0.056593096,17.67,1,Elkton,FL,Zip Code Area,32033,Zip Matches ZCTA,4118,77.01,53.47,1767,2.51,66.4,32033,57772,60.7,55502,28.0,13009,5,2,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.1,0.06,0.12,Southeast
19,19,1098,High,1.862197393,5.37,10,Worthington,MA,Zip Code Area,1098,Zip Matches ZCTA,1101,31.35,35.12,537,2.08,92.0,1098,85853,77.3,84898,27.2,17148,18,4,0,0,0.0,0.0,0.0,0.11,0.09,0.14,0.0,0.0,0.0,New England
20,20,97404,Low,0.007708317,129.73,1,Eugene,OR,Zip Code Area,97404,Zip Matches ZCTA,32255,9.69,3329.38,12973,2.52,88.7,97404,66080,75.1,63696,25.9,16899,22,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.1,Northwest
21,21,17315,Low,0.098541585,101.48,10,Dover,PA,Zip Code Area,17315,Zip Matches ZCTA,25756,62.51,412.06,10148,2.51,79.8,17315,72234,80.5,73421,22.3,7443,7,3,0,0,0.0,0.0,0.0,0.07,0.05,0.09,0.11,0.08,0.12,PJM
22,22,17372,Medium,0.260078023,15.38,4,York Springs,PA,Zip Code Area,17372,Zip Matches ZCTA,4101,32.71,125.38,1538,2.82,84.5,17372,76492,82.1,75627,25.2,5396,7,3,0,0,0.0,0.0,0.0,0.07,0.05,0.09,0.11,0.08,0.12,PJM
23,23,39145,Low,0.052246604,19.14,1,Pelahatchie,MS,Zip Code Area,39145,Zip Matches ZCTA,5170,131.27,39.38,1914,2.52,75.2,39145,58735,68.3,56858,23.0,18375,2,0,0,0,0.0,0.0,0.0,0.08,0.05,0.08,0.12,0.06,0.07,MISO
24,24,76182,Low,0.00906454,110.32,1,North Richland Hills,TX,Zip Code Area,76182,Zip Matches ZCTA,28209,8.78,3211.41,11032,2.77,95.1,76182,104126,86.4,101896,29.0,8054,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERCOT
25,25,1060,Medium,0.823876885,64.33,53,Northampton,MA,Zip Code Area,1060,Zip Matches ZCTA,15284,10.92,1399.63,6433,2.03,35.8,1060,81852,77.1,84151,30.2,25937,18,4,0,0,0.0,0.0,0.0,0.1,0.09,0.14,0.0,0.0,0.0,New England
26,26,96741,High,1.869606903,20.86,39,Kalaheo,HI,Zip Code Area,96741,Zip Matches ZCTA,5929,27.56,215.11,2086,3.04,92.5,96741,92291,79.3,85619,38.9,11164,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.3,0.34,Hawaii
27,27,17842,Low,0.062227754,32.14,2,Middleburg,PA,Zip Code Area,17842,Zip Matches ZCTA,8910,82.87,107.51,3214,2.66,78.5,17842,62600,79.3,61787,24.0,6470,7,3,0,0,0.0,0.0,0.0,0.06,0.03,0.09,0.0,0.0,0.0,PJM
28,28,15473,Low,0.059737157,16.74,1,Perryopolis,PA,Zip Code Area,15473,Zip Matches ZCTA,3862,23.31,165.68,1674,2.44,87.1,15473,60719,68.4,63641,23.8,3551,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.08,0.0,0.0,0.0,PJM
29,29,1940,Low,0.020850709,47.96,1,Lynnfield,MA,Zip Code Area,1940,Zip Matches ZCTA,12108,10.55,1147.9,4796,2.74,81.6,1940,140515,80.5,145519,37.8,19221,18,4,0,0,0.0,0.0,0.0,0.1,0.1,0.14,0.15,0.13,0.14,New England
30,30,12541,Medium,0.224719101,4.45,1,Livingston,NY,Post Office or large volume customer,12502,Spatial join to ZCTA,1164,32.73,35.56,445,2.63,81.3,12502,81807,79.6,69484,30.3,10794,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
31,31,20770,Low,0.06864091,101.98,7,Greenbelt,MD,Zip Code Area,20770,Zip Matches ZCTA,25173,8.22,3063.53,10198,2.53,33.9,20770,79290,90.6,77103,16.7,6854,7,4,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.0,0.0,0.0,PJM
32,32,14201,Low,0.052631579,57.0,3,Buffalo,NY,Zip Code Area,14201,Zip Matches ZCTA,11549,1.02,11278.32,5700,2.0,21.0,14201,41209,70.3,47194,12.8,11384,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
33,33,44628,Medium,0.252525253,3.96,1,Glenmont,OH,Zip Code Area,44628,Zip Matches ZCTA,1067,38.51,27.7,396,2.62,89.9,44628,53373,78.3,54986,25.5,3643,8,2,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.13,0.1,0.13,PJM
34,34,90065,Medium,0.733675715,149.93,110,Los Angeles,CA,Zip Code Area,90065,Zip Matches ZCTA,45527,5.28,8624.17,14993,3.1,69.5,90065,80776,83.5,81896,19.3,14383,22,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.17,CAISO
35,35,95380,Low,0.00710076,140.83,1,Turlock,CA,Zip Code Area,95380,Zip Matches ZCTA,41201,75.02,549.21,14083,2.95,68.7,95380,57152,74.8,57078,12.6,27202,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.13,0.12,0.16,CAISO
36,36,37310,Low,0.054436581,18.37,1,Charleston,TN,Zip Code Area,37310,Zip Matches ZCTA,4135,42.18,98.03,1837,2.56,80.6,37310,62798,75.1,63062,15.9,11171,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.05,Southeast
37,37,37098,Low,0.090049527,22.21,2,Lyles,TN,Zip Code Area,37098,Zip Matches ZCTA,5382,60.09,89.57,2221,2.58,59.5,37098,44762,72.0,52066,10.8,1870,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.07,Southeast
38,38,12065,Low,0.085367936,175.71,15,Clifton Park,NY,Zip Code Area,12065,Zip Matches ZCTA,41776,34.9,1197.16,17571,2.45,67.6,12065,102046,82.2,103527,30.4,9669,14,6,0,0,0.0,0.0,0.0,0.07,0.04,0.09,0.0,0.0,0.0,NYISO
39,39,3839,Low,0.133958473,14.93,2,Rochester,NH,Zip Code Area,3839,Zip Matches ZCTA,3735,8.47,441.02,1493,2.61,50.6,3839,66469,78.0,67264,14.4,10042,4,4,0,0,0.0,0.0,0.0,0.12,0.2,0.13,0.0,0.0,0.0,New England
40,40,43746,Low,0.197238659,5.07,1,Hopewell,OH,Zip Code Area,43746,Zip Matches ZCTA,1425,21.02,67.79,507,2.56,81.3,43746,61126,71.4,56661,31.4,5945,8,2,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.13,0.1,0.13,PJM
41,41,78756,Medium,0.624133148,43.26,27,Austin,TX,Zip Code Area,78756,Zip Matches ZCTA,7194,1.67,4302.63,4326,2.01,55.5,78756,101313,89.0,100028,32.2,18326,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.11,ERCOT
42,42,17860,Low,0.199401795,10.03,2,Paxinos,PA,Zip Code Area,17860,Zip Matches ZCTA,1994,26.4,75.54,1003,2.55,94.8,17860,71831,77.5,68675,17.3,7748,7,3,0,0,0.0,0.0,0.0,0.06,0.03,0.09,0.0,0.0,0.0,PJM
43,43,78023,Low,0.112523911,88.87,10,Helotes,TX,Zip Code Area,78023,Zip Matches ZCTA,24334,74.52,326.55,8887,3.3,94.5,78023,126251,88.0,120410,29.1,17890,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.1,ERCOT
44,44,21715,Low,0.058207218,17.18,1,Brownsville,MD,Post Office or large volume customer,21758,Spatial join to ZCTA,4921,32.44,151.72,1718,2.74,95.1,21758,90162,84.6,81228,25.7,24115,7,4,0,0,0.0,0.0,0.0,0.07,0.05,0.07,0.0,0.0,0.0,PJM
45,45,93433,Medium,0.523182392,55.43,29,Grover Beach,CA,Zip Code Area,93433,Zip Matches ZCTA,13162,2.16,6082.26,5543,2.43,60.3,93433,71627,79.9,72146,20.3,11405,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
46,46,95372,Medium,0.660501982,7.57,5,Soulsbyville,CA,Zip Code Area,95372,Zip Matches ZCTA,1963,2.68,732.74,757,2.73,97.4,95372,73305,71.6,84172,7.3,8158,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
47,47,45440,Low,0.010962508,91.22,1,Dayton,OH,Zip Code Area,45440,Zip Matches ZCTA,20734,9.42,2202.0,9122,2.3,69.2,45440,81413,76.5,81382,27.6,11613,8,2,0,0,0.0,0.0,0.0,0.06,0.06,0.09,0.0,0.0,0.0,PJM
48,48,95928,High,1.461988304,140.22,205,Chico,CA,Zip Code Area,95928,Zip Matches ZCTA,36511,137.55,265.44,14022,2.53,67.2,95928,69053,78.1,66998,23.7,19493,22,2,1,9,1.4,0.9,1.7,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
49,49,78015,Low,0.023674242,42.24,1,Boerne,TX,Zip Code Area,78015,Zip Matches ZCTA,9602,20.92,459.05,4224,2.96,92.6,78015,143385,79.8,133506,42.0,31967,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.1,ERCOT
50,50,95815,Low,0.056135624,89.07,5,Sacramento,CA,Zip Code Area,95815,Zip Matches ZCTA,24680,7.85,3145.15,8907,2.81,59.4,95815,42313,71.1,46076,9.0,12141,22,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.1,0.14,CAISO
51,51,15062,Low,0.055187638,36.24,2,Monessen,PA,Zip Code Area,15062,Zip Matches ZCTA,7731,3.36,2300.21,3624,2.05,86.9,15062,48631,66.9,53137,17.7,2959,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.08,0.0,0.0,0.0,PJM
52,52,53092,Low,0.01142596,87.52,1,Mequon,WI,Zip Code Area,53092,Zip Matches ZCTA,20024,20.39,981.86,8752,2.42,80.1,53092,151455,72.1,162790,47.7,29623,7,4,0,0,0.0,0.0,0.0,0.12,0.08,0.15,0.0,0.0,0.0,MISO
53,53,34476,Low,0.022036139,90.76,2,Ocala,FL,Zip Code Area,34476,Zip Matches ZCTA,20862,37.25,559.99,9076,2.44,87.1,34476,62861,49.7,65843,30.7,15134,5,2,0,0,0.0,0.0,0.0,0.09,0.08,0.12,0.13,0.08,0.12,Southeast
54,54,6371,Low,0.023992322,41.68,1,Old Lyme,CT,Zip Code Area,6371,Zip Matches ZCTA,9952,54.71,181.89,4168,2.31,93.5,6371,118083,74.5,111978,39.4,32525,12,3,0,0,0.0,0.0,0.0,0.12,0.1,0.15,0.0,0.0,0.0,New England
55,55,18954,Low,0.126063662,31.73,4,Richboro,PA,Zip Code Area,18954,Zip Matches ZCTA,9745,6.75,1444.77,3173,3.03,97.8,18954,150595,84.2,150950,39.3,12913,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.11,0.0,0.0,0.0,PJM
56,56,11355,Low,0.011052166,271.44,3,Flushing,NY,Zip Code Area,11355,Zip Matches ZCTA,85871,1.74,49379.53,27144,3.0,16.4,11355,54563,78.1,58861,13.7,9891,14,6,0,0,0.0,0.0,0.0,0.14,0.13,0.2,0.0,0.0,0.0,NYISO
57,57,12550,Low,0.097629766,184.37,18,Newburgh,NY,Zip Code Area,12550,Zip Matches ZCTA,54447,34.72,1568.17,18437,2.89,59.2,12550,73301,79.4,74445,15.9,11161,14,6,0,0,0.0,0.0,0.0,0.08,0.06,0.13,0.0,0.0,0.0,NYISO
58,58,14712,Low,0.0691085,14.47,1,Bemus Point,NY,Zip Code Area,14712,Zip Matches ZCTA,3342,26.03,128.41,1447,2.34,75.1,14712,76596,69.7,74112,27.4,9019,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
59,59,12302,Low,0.177654955,101.32,18,Schenectady,NY,Zip Code Area,12302,Zip Matches ZCTA,27582,42.35,651.33,10132,2.67,74.8,12302,79400,74.8,79421,32.1,8136,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
60,60,19462,Low,0.069360153,57.67,4,Plymouth Meeting,PA,Zip Code Area,19462,Zip Matches ZCTA,14658,8.46,1732.42,5767,2.59,77.7,19462,106502,84.2,106189,32.7,13546,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.11,0.0,0.0,0.0,PJM
61,61,75063,Low,0.025437202,157.25,4,Irving,TX,Zip Code Area,75063,Zip Matches ZCTA,35090,15.17,2312.66,15725,2.37,42.7,75063,108566,93.9,107623,19.4,15336,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERCOT
62,62,92070,High,3.856041131,3.89,15,Santa Ysabel,CA,Zip Code Area,92070,Zip Matches ZCTA,1245,133.17,9.35,389,2.66,74.8,92070,57915,67.1,52621,27.2,16078,22,2,0,0,0.0,0.0,0.0,0.14,0.11,0.15,0.0,0.0,0.0,CAISO
63,63,89044,Low,0.037124118,80.81,3,Henderson,NV,Zip Code Area,89044,Zip Matches ZCTA,14260,31.38,454.43,8081,2.3,98.4,89044,89004,66.8,87442,27.9,20310,9,2,0,0,0.0,0.0,0.0,0.05,0.04,0.06,0.0,0.0,0.0,Northwest
64,64,18933,Low,0.016969286,58.93,1,Lumberville,PA,Zip Code Area,18938,Spatial join to ZCTA,13989,40.93,341.8,5893,2.35,84.6,18938,162698,80.8,162635,44.6,28373,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.11,0.0,0.0,0.0,PJM
65,65,85742,Medium,0.352858151,99.19,35,Tucson,AZ,Zip Code Area,85742,Zip Matches ZCTA,25212,28.73,877.58,9919,2.7,92.7,85742,89457,81.3,81603,26.8,32747,7,1,0,0,0.0,0.0,0.0,0.12,0.08,0.11,0.13,0.08,0.14,Southwest
66,66,17872,Low,0.023062731,43.36,1,Shamokin,PA,Zip Code Area,17872,Zip Matches ZCTA,9943,40.57,245.11,4336,2.15,80.3,17872,43303,68.5,43161,16.5,8151,7,3,0,0,0.0,0.0,0.0,0.06,0.03,0.09,0.0,0.0,0.0,PJM
67,67,95336,High,1.004294681,151.35,152,Manteca,CA,Zip Code Area,95336,Zip Matches ZCTA,42675,38.29,1114.49,15135,3.13,81.4,95336,71514,77.1,69668,14.2,24343,22,2,2,10,1.3,1.3,1.3,0.14,0.1,0.17,0.14,0.1,0.18,CAISO
68,68,12184,Medium,0.234558249,25.58,6,Valatie,NY,Zip Code Area,12184,Zip Matches ZCTA,7148,38.53,185.53,2558,2.53,77.1,12184,98806,80.4,82287,31.9,50385,14,6,0,0,0.0,0.0,0.0,0.07,0.04,0.09,0.0,0.0,0.0,NYISO
69,69,17340,Low,0.023719165,42.16,1,Littlestown,PA,Zip Code Area,17340,Zip Matches ZCTA,10896,38.7,281.56,4216,2.58,84.8,17340,75474,79.0,75053,23.6,7991,7,3,0,0,0.0,0.0,0.0,0.07,0.05,0.09,0.11,0.08,0.12,PJM
70,70,92177,Low,0.00483372,206.88,1,San Diego,CA,Post Office or large volume customer,92117,Spatial join to ZCTA,51332,8.79,5841.15,20688,2.62,68.2,92117,84288,80.5,83877,26.8,15230,22,2,0,0,0.0,0.0,0.0,0.14,0.11,0.15,0.0,0.0,0.0,CAISO
71,71,93924,High,4.031951312,26.29,106,Carmel Valley,CA,Zip Code Area,93924,Zip Matches ZCTA,6279,189.87,33.07,2629,2.45,90.5,93924,126638,81.0,93811,47.2,62485,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
72,72,91301,High,2.036371556,91.83,187,Agoura Hills,CA,Zip Code Area,91301,Zip Matches ZCTA,25488,34.09,747.62,9183,2.82,82.7,91301,151750,88.7,139702,37.7,38026,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.0,0.0,0.0,CAISO
73,73,33037,Low,0.022031284,45.39,1,Key Largo,FL,Zip Code Area,33037,Zip Matches ZCTA,11612,33.82,343.33,4539,2.39,64.9,33037,100710,69.5,84013,33.0,70895,5,2,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.1,0.05,0.1,Southeast
74,74,94062,High,3.602630804,101.87,367,Redwood City,CA,Zip Code Area,94062,Zip Matches ZCTA,25876,70.9,364.96,10187,2.62,83.4,94062,216273,83.3,201973,47.2,69302,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
75,75,48051,Low,0.033377837,59.92,2,New Baltimore,MI,Zip Code Area,48051,Zip Matches ZCTA,17319,15.03,1152.53,5992,2.72,74.2,48051,77515,84.5,78397,15.5,5605,8,2,0,0,0.0,0.0,0.0,0.06,0.04,0.11,0.0,0.0,0.0,MISO
76,76,86335,High,1.333926189,22.49,30,Rimrock,AZ,Zip Code Area,86335,Zip Matches ZCTA,4806,185.35,25.93,2249,2.34,56.8,86335,53496,76.9,41638,27.6,13142,7,1,0,0,0.0,0.0,0.0,0.11,0.08,0.13,0.0,0.0,0.0,Southwest
77,77,21104,Medium,0.595632032,15.11,9,Marriottsville,MD,Zip Code Area,21104,Zip Matches ZCTA,4601,16.98,270.93,1511,3.03,99.3,21104,147733,85.2,143098,40.6,11203,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
78,78,95422,Medium,0.584975369,64.96,38,Clearlake,CA,Zip Code Area,95422,Zip Matches ZCTA,15585,35.23,442.42,6496,2.33,56.9,95422,35948,57.6,36038,14.2,18211,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
79,79,3856,Medium,0.373831776,5.35,2,Newfields,NH,Zip Code Area,3856,Zip Matches ZCTA,1680,7.1,236.79,535,2.85,92.3,3856,148286,89.9,134253,40.6,22762,4,4,0,0,0.0,0.0,0.0,0.12,0.14,0.12,0.0,0.0,0.0,New England
80,80,5257,Medium,0.223713647,8.94,2,North Bennington,VT,Zip Code Area,5257,Zip Matches ZCTA,2718,12.7,214.05,894,2.27,74.0,5257,69036,77.6,64602,37.4,17066,4,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,New England
81,81,1096,Medium,0.573065903,10.47,6,Williamsburg,MA,Zip Code Area,1096,Zip Matches ZCTA,2217,31.68,69.97,1047,2.44,88.3,1096,82292,80.6,83026,29.5,17157,18,4,0,0,0.0,0.0,0.0,0.1,0.09,0.14,0.0,0.0,0.0,New England
82,82,92261,Low,0.012902393,155.01,2,Palm Desert,CA,Post Office or large volume customer,92260,Spatial join to ZCTA,31753,28.4,1118.18,15501,2.17,54.5,92260,76276,63.6,68172,27.2,51729,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.0,0.0,0.0,CAISO
83,83,7765,Low,0.050125313,59.85,3,Wickatunk,NJ,Post Office or large volume customer,7751,Spatial join to ZCTA,19736,16.13,1223.26,5985,3.29,88.5,7751,178532,91.4,177899,36.8,12614,10,4,0,0,0.0,0.0,0.0,0.08,0.06,0.09,0.0,0.0,0.0,PJM
84,84,8535,Medium,0.599161174,16.69,10,Millstone Township,NJ,Zip Code Area,8535,Zip Matches ZCTA,5385,17.79,302.73,1669,2.79,99.2,8535,179616,85.3,179489,39.9,28744,10,4,0,0,0.0,0.0,0.0,0.08,0.06,0.09,0.0,0.0,0.0,PJM
85,85,5473,Medium,0.52173913,5.75,3,North Ferrisburgh,VT,Zip Code Area,5473,Zip matches ZCTA,1413,18.9,74.76,575,2.5,81.9,5473,106150,87.8,104276,36.0,7427,4,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,New England
86,86,18603,Low,0.085480523,81.89,7,Berwick,PA,Zip Code Area,18603,Zip Matches ZCTA,19320,51.56,374.72,8189,2.35,75.6,18603,57970,72.2,62680,18.2,8947,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.08,0.0,0.0,0.0,PJM
87,87,32723,Low,0.008549932,116.96,1,Deland,FL,Post Office or large volume customer,32720,Spatial join to ZCTA,29700,62.81,472.86,11696,2.5,76.9,32720,55050,67.3,53778,24.6,14763,5,2,0,0,0.0,0.0,0.0,0.09,0.08,0.12,0.0,0.0,0.0,Southeast
88,88,37745,Low,0.013989927,71.48,1,Greeneville,TN,Zip Code Area,37745,Zip Matches ZCTA,18401,116.46,158.0,7148,2.34,72.7,37745,55094,63.9,61222,19.5,14597,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.07,Southeast
89,89,15227,Low,0.008255593,121.13,1,Pittsburgh,PA,Zip Code Area,15227,Zip Matches ZCTA,28156,6.18,4555.99,12113,2.34,77.3,15227,66860,78.3,68760,22.5,8570,7,3,0,0,0.0,0.0,0.0,0.07,0.07,0.11,0.0,0.0,0.0,PJM
90,90,6375,Low,0.067114094,14.9,1,Quaker Hill,CT,Zip Code Area,6375,Zip Matches ZCTA,3660,7.93,461.77,1490,2.53,93.2,6375,98279,81.0,95559,29.3,14231,12,3,0,0,0.0,0.0,0.0,0.12,0.1,0.15,0.18,0.06,0.16,New England
91,91,97024,Low,0.07230658,41.49,3,Fairview,OR,Zip Code Area,97024,Zip Matches ZCTA,10242,3.5,2925.45,4149,2.48,52.5,97024,61513,77.8,57446,15.5,26658,22,6,0,0,0.0,0.0,0.0,0.06,0.04,0.06,0.0,0.0,0.0,Northwest
92,92,15143,Low,0.062688064,79.76,5,Sewickley,PA,Zip Code Area,15143,Zip Matches ZCTA,19660,36.81,534.06,7976,2.47,82.1,15143,141515,77.9,147930,39.4,30543,7,3,0,0,0.0,0.0,0.0,0.06,0.05,0.1,0.0,0.0,0.0,PJM
