,index,zipcode,Category,installs_per_100,100_hhs,number_installed,PO_NAME,STATE,ZIP_TYPE,ZCTA,Zip_join_type,population,landsqmi,popdensity,total_household,avg_hh_size,percet_1unit,ZCTA_5,mean_income,earning_hhs,mean_income_earning_hhs,percent_int_div_rent,earn_int_div_rent,no_financial_incentive_prog,no_rules_reg_pol_incentive,no_plants,op_months,summer_capacity,winter_capacity,nameplate_capacity,comm_rate,ind_rate,res_rate,comm_rate_noniou,ind_rate_noniou,res_rate_noniou,region
0,0,96094,Low,0.073421439,27.24,2,Weed,CA,Zip Code Area,96094,Zip Matches ZCTA,6630,247.4,26.8,2724,2.31,84.8,96094,57999,67.7,50294,25.6,21190,22,2,0,0,0.0,0.0,0.0,0.15,0.14,0.13,0.0,0.0,0.0,CAISO
1,1,53533,Low,0.099933378,30.02,3,Dodgeville,WI,Zip Code Area,53533,Zip Matches ZCTA,7276,143.89,50.57,3002,2.41,74.4,53533,75568,79.6,71071,27.7,26792,7,4,0,0,0.0,0.0,0.0,0.11,0.08,0.13,0.0,0.0,0.0,MISO
2,2,54984,Low,0.074626866,13.4,1,Wild Rose,WI,Zip Code Area,54984,Zip Matches ZCTA,2989,76.22,39.21,1340,2.24,83.2,54984,56621,61.7,57794,26.8,8816,7,4,0,0,0.0,0.0,0.0,0.11,0.08,0.14,0.12,0.1,0.16,MISO
3,3,70128,Medium,0.280347631,71.34,20,New Orleans,LA,Zip Code Area,70128,Zip Matches ZCTA,17113,4.87,3511.08,7134,2.72,76.2,70128,53782,74.9,58956,8.1,8644,0,1,0,0,0.0,0.0,0.0,0.08,0.06,0.09,0.0,0.0,0.0,MISO
4,4,97305,Low,0.06543551,137.54,9,Salem,OR,Zip Code Area,97305,Zip Matches ZCTA,40176,47.68,842.71,13754,3.02,51.8,97305,54485,79.0,51226,14.6,11261,22,6,0,0,0.0,0.0,0.0,0.06,0.04,0.06,0.08,0.08,0.09,Northwest
5,5,97080,Low,0.060052045,149.87,9,Gresham,OR,Zip Code Area,97080,Zip Matches ZCTA,40888,21.56,1896.47,14987,2.8,77.3,97080,77993,82.0,76176,21.9,10831,22,6,0,0,0.0,0.0,0.0,0.06,0.04,0.06,0.0,0.0,0.0,Northwest
6,6,37203,Low,0.015777848,63.38,1,Nashville,TN,Zip Code Area,37203,Zip Matches ZCTA,11883,4.2,2832.66,6338,1.78,20.6,37203,63321,77.7,69049,17.8,21673,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.06,Southeast
7,7,13104,Low,0.11900714,58.82,7,Manlius,NY,Zip Code Area,13104,Zip Matches ZCTA,15567,47.24,329.53,5882,2.68,82.7,13104,131682,80.4,137424,35.5,17733,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
8,8,72901,Low,0.032654838,91.87,3,Fort Smith,AR,Zip Code Area,72901,Zip Matches ZCTA,21591,8.78,2459.67,9187,2.38,66.2,72901,41192,68.7,44349,11.4,17132,1,2,0,0,0.0,0.0,0.0,0.07,0.06,0.08,0.0,0.0,0.0,MISO
9,9,12983,Low,0.058702671,34.07,2,Saranac Lake,NY,Zip Code Area,12983,Zip Matches ZCTA,7494,210.5,35.6,3407,2.12,58.2,12983,64413,70.7,59868,27.7,15237,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
